Data;Produto;Região;Quantidade;Valor Unitário;Receita
05/12/2022;Shampoo;Leste;360;104;37440
26/06/2022;Shampoo;Sul;578;226;130628
16/03/2022;Pasta de dente;Sul;939;119;111741
13/06/2023;Maionese;Norte;472;83;39176
03/06/2022;Pasta de dente;Norte;859;31;26629
02/09/2022;Maionese;Leste;651;18;11718
01/10/2023;Sabonete;Oeste;514;91;46774
15/03/2023;Maionese;Oeste;42;166;6972
18/08/2022;Sabonete;Sul;261;125;32625
10/08/2023;Pasta de dente;Sul;742;188;139496
10/06/2022;Shampoo;Norte;344;58;19952
30/05/2022;Pasta de dente;Oeste;226;134;30284
08/02/2023;Pasta de dente;Sul;233;28;6524
20/05/2022;Pasta de dente;Norte;24;64;1536
16/04/2023;Shampoo;Leste;427;191;81557
17/03/2022;Shampoo;Leste;585;205;119925
02/01/2022;Maionese;Sul;905;168;152040
21/10/2023;Suco;Sul;298;252;75096
08/10/2022;Suco;Sul;644;27;17388
17/02/2023;Maionese;Leste;150;5;750
12/01/2022;Detergente;Leste;857;216;185112
24/10/2022;Pasta de dente;Sul;256;103;26368
11/11/2022;Suco;Sul;254;48;12192
19/06/2023;Detergente;Oeste;176;122;21472
24/11/2023;Suco;Norte;758;36;27288
09/01/2023;Detergente;Leste;404;57;23028
03/05/2023;Detergente;Sul;344;213;73272
29/04/2023;Maionese;Oeste;686;227;155722
25/01/2023;Detergente;Oeste;750;57;42750
01/05/2022;Detergente;Leste;420;38;15960
23/11/2023;Pasta de dente;Norte;45;213;9585
11/12/2022;Suco;Oeste;435;22;9570
02/08/2022;Pasta de dente;Norte;281;151;42431
02/11/2022;Detergente;Norte;820;179;146780
21/06/2023;Shampoo;Leste;729;180;131220
13/09/2022;Detergente;Sul;561;164;92004
18/09/2023;Sabonete;Sul;978;236;230808
06/03/2023;Sabonete;Leste;538;188;101144
24/11/2022;Pasta de dente;Norte;821;139;114119
28/09/2023;Maionese;Norte;36;4;144
20/09/2022;Maionese;Leste;70;159;11130
13/09/2022;Detergente;Norte;111;141;15651
01/09/2022;Pasta de dente;Oeste;569;85;48365
15/05/2023;Pasta de dente;Oeste;813;141;114633
09/04/2023;Maionese;Leste;932;172;160304
16/06/2022;Maionese;Oeste;347;89;30883
13/04/2023;Maionese;Sul;828;153;126684
19/05/2023;Detergente;Leste;954;51;48654
19/05/2022;Shampoo;Sul;997;239;238283
22/05/2023;Pasta de dente;Norte;503;74;37222
01/01/2023;Pasta de dente;Oeste;456;2;912
06/10/2022;Shampoo;Sul;369;157;57933
10/07/2022;Suco;Sul;264;197;52008
22/10/2023;Pasta de dente;Oeste;741;6;4446
14/09/2022;Detergente;Oeste;723;194;140262
21/08/2023;Pasta de dente;Leste;985;198;195030
08/03/2023;Pasta de dente;Norte;988;117;115596
06/08/2022;Detergente;Norte;136;205;27880
23/06/2022;Sabonete;Oeste;739;86;63554
02/09/2022;Detergente;Norte;668;244;162992
11/05/2022;Maionese;Sul;604;54;32616
23/03/2022;Suco;Sul;98;213;20874
31/10/2023;Pasta de dente;Sul;256;253;64768
12/11/2022;Pasta de dente;Sul;710;193;137030
25/11/2022;Detergente;Oeste;456;212;96672
16/10/2023;Pasta de dente;Leste;182;233;42406
25/01/2023;Shampoo;Leste;978;39;38142
12/11/2022;Pasta de dente;Leste;666;147;97902
22/06/2023;Pasta de dente;Sul;665;231;153615
26/03/2023;Shampoo;Leste;633;119;75327
19/10/2023;Detergente;Oeste;24;120;2880
27/01/2022;Shampoo;Sul;407;39;15873
01/04/2023;Suco;Sul;373;89;33197
26/07/2023;Maionese;Leste;902;23;20746
15/02/2023;Pasta de dente;Oeste;134;241;32294
06/11/2022;Maionese;Leste;706;253;178618
13/01/2023;Shampoo;Leste;341;180;61380
28/08/2022;Shampoo;Leste;191;94;17954
14/06/2022;Pasta de dente;Norte;644;206;132664
09/12/2023;Detergente;Sul;121;18;2178
27/02/2022;Sabonete;Leste;329;47;15463
20/02/2022;Maionese;Sul;881;125;110125
05/01/2023;Suco;Norte;945;69;65205
09/03/2023;Detergente;Norte;128;235;30080
14/06/2022;Suco;Leste;528;86;45408
10/07/2022;Sabonete;Sul;718;161;115598
